Dongles,Sensor_name,MacID,Status
SAMOSA1,SAMOSA_0060,10:52:1c:42:1d:de,Done
SAMOSA1,SAMOSA_0061,F4:cf:a2:dd:42:d3,Done
SAMOSA1,SAMOSA_0063,F4:cf:a2:dd:42:4c,Done
SAMOSA1,SAMOSA_0065,50:2:91:f7:44:c4,Done
SAMOSA1,SAMOSA_0066,10:52:1c:41:88:33,Done
SAMOSA2,SAMOSA_0067,A4:cf:12:f9:ff:d5,Done
SAMOSA2,SAMOSA_0070,10:52:1c:42:3e:85,Done
SAMOSA2,SAMOSA_0071,10:52:1c:41:ad:71,Done
SAMOSA2,SAMOSA_0073,68:c6:3a:ff:7b:7f,Done
SAMOSA2,SAMOSA_0075,10:52:1c:41:25:c,Done
SAMOSA8,SAMOSA_0076,40:f5:20:16:e8:f1,done
SAMOSA8,SAMOSA_0080,40:f5:20:1d:69:a5,done
SAMOSA8,SAMOSA_0081,F0:8:d1:2:d9:d4,done
SAMOSA8,SAMOSA_0082,F0:8:d1:2:d9:da,done
SAMOSA8,SAMOSA_0083,10:52:1c:41:6d:3b,done
SAMOSA15,SAMOSA_0084,68:c6:3a:ff:87:84,Done
SAMOSA15,SAMOSA_0086,68:c6:3a:ff:b2:1,Done
SAMOSA15,SAMOSA_0087,68:c6:3a:ff:b2:b3,Done
SAMOSA15,SAMOSA_0088,10:52:1c:41:58:a1,Done
SAMOSA15,SAMOSA_0089,10:52:1c:41:70:cd,Done
SAMOSA16,SAMOSA_0094,10:52:1c:41:c4:1b,Done
SAMOSA16,SAMOSA_0095,10:52:1c:41:55:aa,Done
SAMOSA16,SAMOSA_0096,40:f5:20:17:65:88,Done
SAMOSA16,SAMOSA_0097,10:52:1c:41:37:b3,Done
SAMOSA16,SAMOSA_0099,10:52:1c:4c:91:82,Done
