Sensor_name,Dongles,MacID,Status
SAMOSA_0060,SAMOSA9,10:52:1c:42:1d:de,
SAMOSA_0080,SAMOSA9,40:f5:20:1d:69:a5,
SAMOSA_0112,SAMOSA9,10:52:1c:41:71:30,
SAMOSA_0124,SAMOSA1,10:52:1c:42:41:4d,
SAMOSA_0129,SAMOSA1,Ec:fa:bc:d3:42:61,
SAMOSA_0130,SAMOSA1,40:f5:20:17:77:3c,
SAMOSA_0138,SAMOSA1,40:f5:20:1e:77:4,
SAMOSA_0144,SAMOSA1,40:f5:20:1e:66:ba,
SAMOSA_0146,SAMOSA2,40:f5:20:1d:20:e7,
SAMOSA_0147,SAMOSA2,40:f5:20:1e:64:1c,
SAMOSA_0150,SAMOSA2,40:f5:20:1e:73:a3,
SAMOSA_0151,SAMOSA2,B5:A2,
SAMOSA_0152,SAMOSA2,ED:8A,
SAMOSA_0153,SAMOSA8,2b:89:36,
SAMOSA_0154,SAMOSA8,D8:F8,
SAMOSA_0155,SAMOSA8,bc:dd:c2:5e:d8:e7,
SAMOSA_0156,SAMOSA8,ao:32,
SAMOSA_0157,SAMOSA8,5d:b8,
SAMOSA_0158,SAMOSA15,b8:80:28,
SAMOSA_0159,SAMOSA15,dc:d9,
SAMOSA_0161,SAMOSA15,eb:36:39:54,
SAMOSA_0162,SAMOSA15,39:3e,
SAMOSA_0167,SAMOSA15,ed:94,
SAMOSA_0168,SAMOSA16,ef:89,
SAMOSA_0171,SAMOSA16,d8:e3,
SAMOSA_0172,SAMOSA16,d0:ba,
SAMOSA_0173,SAMOSA16,bc:dd:c2:5e:dc:dc,
SAMOSA_0174,SAMOSA16,fd:8a,
